#Title: CHAOS IV: Gas-Phase Abundance Trends from the First Four CHAOS Galaxies 
#Authors: Berg D.A., Pogge R.W., Skillman E.D., Croxall K.V., Moustakas J.,
#        Rogers N.S.J., Sun J.
#--------------------------------------------------------------------------------
#   1- 19 A19    ---     Reg        NGC 3184 HII region slit ID (1)
# 136-140 F5.3   [-]     log(O/H)   Oxygen abundance, 12+log(O/H) 
# 142-146 F5.3   [-]   e_log(O/H)   Uncertainty in log(O/H) 
# 183-188 F6.3   [-]     log(N/O)   Nitrogen-to-oxygen abundance ratio, log 
# 190-194 F5.3   [-]   e_log(N/O)   Uncertainty in log(N/O) 
region               lgOH  e_lgOH  lgNO  e_lgNO
NGC5194+56.8+126.5   8.68  0.14   -0.60  0.17 
NGC5194+30.8+139.0   8.75  0.09   -0.66  0.10 
NGC5194+104.1-105.5  8.56  0.04   -0.60  0.06 
NGC5194+98.1-113.8   8.54  0.03   -0.51  0.04 
NGC5194+71.2+135.9   8.56  0.05   -0.59  0.06 
NGC5194+83.4-133.1   8.57  0.06   -0.55  0.07 
NGC5194+109.9-121.4  8.51  0.07   -0.57  0.09 
NGC5194+112.2-126.6  8.75  0.12   -0.72  0.16 
NGC5194+150.6+99.0   8.67  0.11   -0.70  0.15 
NGC5194-159.5-116.4  8.73  0.09   -0.72  0.11 
NGC5194-135.4-181.4  8.61  0.07   -0.77  0.10 
NGC5194+114.5+230.8  8.46  0.06   -0.69  0.08 
NGC5457-75.0+29.3    8.65  0.14   -0.62  0.16
NGC5457+22.1-102.1   8.73  0.11   -0.80  0.15
NGC5457+47.9-103.2   8.79  0.09   -0.82  0.11
NGC5457-12.0+139.0   8.53  0.13   -0.71  0.17
NGC5457+138.9+30.6   8.50  0.07   -0.77  0.09
NGC5457+134.4-58.8   8.62  0.10   -0.91  0.13
NGC5457+164.6+9.9    8.60  0.03   -0.95  0.05
NGC5457+89.3+149.7   8.83  0.16   -0.92  0.22
NGC5457-70.2+162.2   8.62  0.13   -0.90  0.18
NGC5457+166.4+86.3   8.42  0.08   -0.78  0.11
NGC5457+177.2-42.8   8.45  0.06   -0.91  0.09
NGC5457-159.9+89.6   8.58  0.08   -0.77  0.11
NGC5457+133.1-126.8  8.58  0.14   -0.91  0.17
NGC5457+177.2+76.1   8.61  0.09   -0.89  0.12
NGC5457-120.2+146.9  8.57  0.06   -0.80  0.10
NGC5457+130.2+157.4  8.55  0.10   -0.82  0.13
NGC5457+129.2+161.7  8.30  0.04   -0.71  0.05
NGC5457-145.1+146.8  8.87  0.08   -1.00  0.12
NGC5457+103.5+192.6  8.46  0.08   -0.85  0.11
NGC5457-205.4-98.2   8.57  0.09   -0.90  0.13
NGC5457+17.3-235.4   8.62  0.07   -1.02  0.12
NGC5457+36.8-233.4   8.45  0.03   -0.99  0.06
NGC5457+139.0+200.7  8.53  0.08   -0.96  0.10
NGC5457+189.2-136.3  8.58  0.02   -0.99  0.05
NGC5457-183.9-179.0  8.68  0.14   -1.08  0.23
NGC5457-249.4-51.3   8.51  0.06   -0.90  0.08
NGC5457-250.8-52.0   8.59  0.11   -0.94  0.15
NGC5457+225.6-124.1  8.49  0.05   -1.05  0.08
NGC5457+117.9-235.0  8.30  0.07   -1.10  0.11
NGC5457-208.0-180.7  8.45  0.10   -0.92  0.17
NGC5457-12.3-271.1   8.49  0.08   -0.99  0.10
NGC5457-200.3-193.6  8.60  0.06   -1.13  0.11
NGC5457+96.7+266.9   8.49  0.08   -0.96  0.11
NGC5457+67.5+277.0   8.52  0.05   -1.04  0.10
NGC5457+252.2-109.8  8.53  0.08   -1.01  0.13
NGC5457+254.6-107.2  8.50  0.01   -0.98  0.02
NGC5457+281.4-71.8   8.42  0.05   -1.15  0.08
NGC5457-243.0+159.6  8.49  0.06   -1.00  0.09
NGC5457+249.3+201.9  8.42  0.09   -1.06  0.16
NGC5457-297.7+87.1   8.45  0.10   -1.04  0.15
NGC5457-309.4+56.9   8.35  0.03   -0.92  0.05
NGC5457+354.1+71.2   8.51  0.10   -1.23  0.19
NGC5457-164.9-333.9  8.53  0.03   -1.23  0.08
NGC5457+360.9+75.3   8.51  0.02   -1.22  0.05
NGC5457-377.9-64.9   8.52  0.06   -1.08  0.10
NGC5457-99.6-388.0   8.39  0.01   -1.12  0.03
