Valid,Comp,Source,RA,Dec,z,Cosmo,LDist,Type,Instrument,Line,Flux,Flux_err,Lum,Lum_err,FWHM,FWHM_err,Cont,Cont_err,LFIR,LFIR_err,LFIR_LIR,LFIR_LIR_err,LFIR_LIR_type,LIR,LIR_err,LIR_LFIR,LIR_LFIR_err,LIR_LFIR_type,Line_ref,Line_year,Line_ref_link,Cont_ref,Cont_year,Pub,Mag_min,Mag_max,Line_rf,Log_Lum,Log_Lum_me,Log_Lum_pe,
-,-,-,J2000.0,J2000.0,-,,[Mpc],-,-,-,[Jy km/s],[Jy km/s],[Lsun],[Lsun],[km/s],[km/s],[mJy],[mJy],[Lsun],[Lsun],[Lsun],[Lsun],,[Lsun],[Lsun],[Lsun],[Lsun],,-,-,-,-,-,-,-,-,[GHz],[Lsun],[Lsun],[Lsun],
S,M,CRISTAL-21,"""09:59:30.467""","""+02:08:02.626""",5.255,Vanilla,49437.8,MS,ALMA,[CII]158um,0.91,0.14,7.03E+08,1.08E+08,256,26,0.41,0.15,,,3.47E+11,8.98E+10,LIR,3.47E+11,8.98E+10,3.47E+11,8.98E+10,LIR,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,8.846844304,0.07255066715,0.06214790675,
S,M,CRISTAL-21,"""09:59:30.467""","""+02:08:02.626""",5.255,Vanilla,49437.8,MS,ALMA,[CII]158um,0.86,0.11,6.64E+08,8.50E+07,298,27,,,0.00E+00,2.24E+10,0.00E+00,2.24E+10,LFIR,,,0.00E+00,2.24E+10,LFIR,Lambert+23,2023,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3183L/abstract,Lambert+23,2023,1,1,1,1900.547,8.822301363,0.05943718785,0.05227328302,
S,M,CRISTAL-18,"""09:59:30.648""","""+02:19:53.76""",5.7209,,54595.3,MS,ALMA,[CII]158um,0.11,0.04,9.64E+07,3.51E+07,298,18,,,,,,,,,,,,,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,7.984187718,0.1962946451,0.1346985739,
S,M,CRISTAL-18,"""09:59:30.648""","""+02:19:53.76""",5.7209,,54595.3,MS,ALMA,[CII]158um,0,0.03,0.00E+00,2.63E+07,,,,,,,,,,,,,,,Herrera-Camus+25,2025,Submitted,Herrera-Camus+25,2025,1,1,1,1900.547,0,0,7.419916288,
S,M,DEIMOS_COSMOS_274035,"""09:59:32.46""","""+01:42:05.68""",4.4791,,40997.879,LBG,ALMA,[CII]158um,0.44,0.12,2.67E+08,7.28E+07,266,19,0,0.094,,,0.00E+00,1.30E+11,LIR,0.00E+00,1.30E+11,0.00E+00,1.30E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.426178182,0.1383026982,0.1047353505,
S,M,DEIMOS_COSMOS_834764,"""09:59:35.73""","""+02:34:00.55""",4.5058,,41286.453,LBG,ALMA,[CII]158um,0.92,0.19,5.63E+08,1.16E+08,254,17,0,0.105,,,0.00E+00,1.46E+11,LIR,0.00E+00,1.46E+11,0.00E+00,1.46E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.750494496,0.1004649672,0.08153515144,
S,M,DEIMOS_COSMOS_372292,"""09:59:39.15""","""+01:51:28.07""",5.1364,,48160.289,LBG,ALMA,[CII]158um,0.53,0.07,3.96E+08,5.23E+07,289,14,0,0.061,,,0.00E+00,1.00E+11,LIR,0.00E+00,1.00E+11,0.00E+00,1.00E+11,LIR,Bethermin+20,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...643A...2B/abstract,Bethermin+20,2020,1,1,1,1900.547,8.59765233,0.06151803792,0.05387538078,
S,M,AS2COS0044.1,"""09:59:40.3""","""+02:05:14.7""",2.414,Vanilla,19544,SMG,ALMA,[CI]609um,1.44,0.16,8.25E+07,9.16E+06,580,50,0.46,0.02,,,9.30E+12,9.00E+11,LIR,9.30E+12,9.00E+11,9.30E+12,9.00E+11,LIR,Frias-Castillo+24,2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240405596F/abstract,Frias-Castillo+24,2024,1,1,1,492.16,7.916265536,0.05115252245,0.04575749056,
S,M,ID218445,"""09:59:40.82""","""+02:37:08.6""",1.1199,,7607.143,MS,ALMA,[CI]609um,1.33,0.25,1.86E+07,3.49E+06,,,,,,,3.98E+11,1.07E+11,LIR,3.98E+11,1.07E+11,3.98E+11,1.07E+11,LIR,Valentino+20,2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...890...24V/abstract,Valentino+20,2020,1,1,1,492.16,7.26911908,0.09042788548,0.07480544599,
S,M,AzTEC-1,"""09:59:42.860""","""+02:29:38.20""",4.342,Vanilla,39498.7,SMG,ALMA,[CI]609um,0.7,0.14,1.05E+08,2.09E+07,480,80,0.21,0.03,,,2.04E+13,7.00E+11,LIR,2.04E+13,7.00E+11,2.04E+13,7.00E+11,LIR,Frias-Castillo+24,2024,https://ui.adsabs.harvard.edu/abs/2024arXiv240405596F/abstract,Frias-Castillo+24,2024,1,1,1,492.16,8.019699414,0.09691001301,0.07918124605,
S,M,AzTEC-1,"""09:59:42.860""","""+02:29:38.20""",4.342,,39520.32,SMG,ALMA,[CII]158um,10.94,0.21,6.32E+09,1.21E+08,,,,,7.90E+12,0.00E+00,7.90E+12,0.00E+00,LFIR,,,7.90E+12,0.00E+00,LFIR,Tadaki+19,2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...876....1T/abstract,Tadaki+19,2019,1,1,1,1900.547,9.800866297,0.008417600031,0.008257545387,
S,M,AzTEC-1,"""09:59:42.860""","""+02:29:38.20""",4.342,,39520.32,SMG,ALMA,[NII]205um,0.78,0.03,3.47E+08,1.33E+07,,,,,7.90E+12,0.00E+00,7.90E+12,0.00E+00,LFIR,,,7.90E+12,0.00E+00,LFIR,Tadaki+19,2019,https://ui.adsabs.harvard.edu/abs/2019ApJ...876....1T/abstract,Tadaki+19,2019,1,1,1,1461.1318,8.539754356,0.0170333393,0.01639041619,
