 freq,	    tau,          Transmission
    1.27000E+01,   4.60812E-03,   9.95402E-01
    1.28000E+01,   4.62731E-03,   9.95383E-01
    1.29000E+01,   4.64681E-03,   9.95364E-01
    1.30000E+01,   4.66658E-03,   9.95344E-01
    1.31000E+01,   4.68664E-03,   9.95324E-01
    1.32000E+01,   4.70700E-03,   9.95304E-01
    1.33000E+01,   4.72765E-03,   9.95284E-01
    1.34000E+01,   4.74860E-03,   9.95263E-01
    1.35000E+01,   4.76987E-03,   9.95241E-01
    1.36000E+01,   4.79143E-03,   9.95220E-01
    1.37000E+01,   4.81333E-03,   9.95198E-01
    1.38000E+01,   4.83557E-03,   9.95176E-01
    1.39000E+01,   4.85820E-03,   9.95154E-01
    1.40000E+01,   4.88111E-03,   9.95131E-01
    1.41000E+01,   4.90454E-03,   9.95107E-01
    1.42000E+01,   4.92833E-03,   9.95084E-01
    1.43000E+01,   4.95264E-03,   9.95060E-01
    1.44000E+01,   4.97746E-03,   9.95035E-01
    1.45000E+01,   5.00310E-03,   9.95009E-01
    1.46000E+01,   5.02994E-03,   9.94983E-01
    1.47000E+01,   5.05955E-03,   9.94953E-01
    1.48000E+01,   5.10280E-03,   9.94910E-01
    1.49000E+01,   5.14347E-03,   9.94870E-01
    1.50000E+01,   5.14182E-03,   9.94871E-01
    1.51000E+01,   5.16417E-03,   9.94849E-01
    1.52000E+01,   5.19031E-03,   9.94823E-01
    1.53000E+01,   5.21816E-03,   9.94795E-01
    1.54000E+01,   5.24696E-03,   9.94767E-01
    1.55000E+01,   5.27673E-03,   9.94737E-01
    1.56000E+01,   5.30713E-03,   9.94707E-01
    1.57000E+01,   5.33858E-03,   9.94676E-01
    1.58000E+01,   5.37085E-03,   9.94644E-01
    1.59000E+01,   5.40459E-03,   9.94610E-01
    1.60000E+01,   5.44098E-03,   9.94574E-01
    1.61000E+01,   5.48740E-03,   9.94528E-01
    1.62000E+01,   5.53271E-03,   9.94483E-01
    1.63000E+01,   5.54702E-03,   9.94468E-01
    1.64000E+01,   5.57964E-03,   9.94436E-01
    1.65000E+01,   5.61556E-03,   9.94400E-01
    1.66000E+01,   5.65342E-03,   9.94363E-01
    1.67000E+01,   5.69268E-03,   9.94323E-01
    1.68000E+01,   5.73310E-03,   9.94283E-01
    1.69000E+01,   5.77484E-03,   9.94242E-01
    1.70000E+01,   5.81790E-03,   9.94199E-01
    1.71000E+01,   5.86234E-03,   9.94155E-01
    1.72000E+01,   5.90817E-03,   9.94109E-01
    1.73000E+01,   5.95549E-03,   9.94062E-01
    1.74000E+01,   6.00444E-03,   9.94014E-01
    1.75000E+01,   6.05507E-03,   9.93963E-01
    1.76000E+01,   6.10765E-03,   9.93911E-01
    1.77000E+01,   6.16205E-03,   9.93857E-01
    1.78000E+01,   6.21863E-03,   9.93801E-01
    1.79000E+01,   6.27726E-03,   9.93742E-01
    1.80000E+01,   6.33840E-03,   9.93682E-01
    1.81000E+01,   6.40219E-03,   9.93618E-01
    1.82000E+01,   6.46863E-03,   9.93552E-01
    1.83000E+01,   6.53813E-03,   9.93483E-01
    1.84000E+01,   6.61073E-03,   9.93411E-01
    1.85000E+01,   6.68700E-03,   9.93335E-01
    1.86000E+01,   6.76690E-03,   9.93256E-01
    1.87000E+01,   6.85102E-03,   9.93172E-01
    1.88000E+01,   6.93969E-03,   9.93084E-01
    1.89000E+01,   7.03282E-03,   9.92992E-01
    1.90000E+01,   7.13130E-03,   9.92894E-01
    1.91000E+01,   7.23563E-03,   9.92790E-01
    1.92000E+01,   7.34605E-03,   9.92681E-01
    1.93000E+01,   7.46317E-03,   9.92565E-01
    1.94000E+01,   7.58773E-03,   9.92441E-01
    1.95000E+01,   7.72033E-03,   9.92309E-01
    1.96000E+01,   7.86177E-03,   9.92169E-01
    1.97000E+01,   8.01304E-03,   9.92019E-01
    1.98000E+01,   8.17475E-03,   9.91859E-01
    1.99000E+01,   8.34808E-03,   9.91687E-01
    2.00000E+01,   8.53407E-03,   9.91502E-01
    2.01000E+01,   8.73395E-03,   9.91304E-01
    2.02000E+01,   8.94829E-03,   9.91092E-01
    2.03000E+01,   9.17913E-03,   9.90863E-01
    2.04000E+01,   9.42769E-03,   9.90617E-01
    2.05000E+01,   9.69541E-03,   9.90351E-01
    2.06000E+01,   9.98336E-03,   9.90066E-01
    2.07000E+01,   1.02933E-02,   9.89760E-01
    2.08000E+01,   1.06262E-02,   9.89430E-01
    2.09000E+01,   1.09832E-02,   9.89077E-01
    2.10000E+01,   1.13650E-02,   9.88699E-01
    2.11000E+01,   1.17718E-02,   9.88297E-01
    2.12000E+01,   1.22022E-02,   9.87872E-01
    2.13000E+01,   1.26554E-02,   9.87424E-01
    2.14000E+01,   1.31280E-02,   9.86958E-01
    2.15000E+01,   1.36153E-02,   9.86477E-01
    2.16000E+01,   1.41104E-02,   9.85989E-01
    2.17000E+01,   1.46036E-02,   9.85503E-01
    2.18000E+01,   1.50827E-02,   9.85030E-01
    2.19000E+01,   1.55322E-02,   9.84588E-01
    2.20000E+01,   1.59335E-02,   9.84193E-01
    2.21000E+01,   1.62660E-02,   9.83866E-01
    2.22000E+01,   1.65048E-02,   9.83631E-01
    2.23000E+01,   1.66053E-02,   9.83532E-01
    2.24000E+01,   1.65785E-02,   9.83558E-01
    2.25000E+01,   1.64565E-02,   9.83678E-01
    2.26000E+01,   1.62592E-02,   9.83872E-01
    2.27000E+01,   1.60044E-02,   9.84123E-01
    2.28000E+01,   1.57088E-02,   9.84414E-01
    2.29000E+01,   1.53870E-02,   9.84731E-01
    2.30000E+01,   1.50505E-02,   9.85062E-01
    2.31000E+01,   1.47098E-02,   9.85398E-01
    2.32000E+01,   1.43724E-02,   9.85730E-01
    2.33000E+01,   1.40439E-02,   9.86054E-01
    2.34000E+01,   1.37290E-02,   9.86365E-01
    2.35000E+01,   1.34312E-02,   9.86659E-01
    2.36000E+01,   1.31530E-02,   9.86933E-01
    2.37000E+01,   1.29007E-02,   9.87182E-01
    2.38000E+01,   1.27110E-02,   9.87369E-01
    2.39000E+01,   1.25160E-02,   9.87562E-01
    2.40000E+01,   1.22194E-02,   9.87855E-01
    2.41000E+01,   1.20083E-02,   9.88064E-01
    2.42000E+01,   1.18247E-02,   9.88245E-01
    2.43000E+01,   1.16599E-02,   9.88408E-01
    2.44000E+01,   1.15111E-02,   9.88555E-01
    2.45000E+01,   1.13769E-02,   9.88688E-01
    2.46000E+01,   1.12558E-02,   9.88807E-01
    2.47000E+01,   1.11470E-02,   9.88915E-01
    2.48000E+01,   1.10497E-02,   9.89011E-01
    2.49000E+01,   1.09625E-02,   9.89097E-01
    2.50000E+01,   1.08854E-02,   9.89174E-01
    2.51000E+01,   1.08175E-02,   9.89241E-01
    2.52000E+01,   1.07600E-02,   9.89298E-01
    2.53000E+01,   1.07082E-02,   9.89349E-01
    2.54000E+01,   1.06674E-02,   9.89389E-01
    2.55000E+01,   1.06544E-02,   9.89402E-01
    2.56000E+01,   1.06479E-02,   9.89409E-01
    2.57000E+01,   1.06202E-02,   9.89436E-01
    2.58000E+01,   1.05534E-02,   9.89502E-01
    2.59000E+01,   1.05259E-02,   9.89529E-01
    2.60000E+01,   1.05096E-02,   9.89545E-01
    2.61000E+01,   1.04994E-02,   9.89556E-01
    2.62000E+01,   1.04941E-02,   9.89561E-01
    2.63000E+01,   1.04933E-02,   9.89562E-01
    2.64000E+01,   1.04964E-02,   9.89558E-01
    2.65000E+01,   1.05027E-02,   9.89552E-01
    2.66000E+01,   1.05126E-02,   9.89542E-01
    2.67000E+01,   1.05257E-02,   9.89529E-01
    2.68000E+01,   1.05412E-02,   9.89514E-01
    2.69000E+01,   1.05596E-02,   9.89496E-01
    2.70000E+01,   1.05810E-02,   9.89475E-01
    2.71000E+01,   1.06048E-02,   9.89451E-01
    2.72000E+01,   1.06311E-02,   9.89425E-01
    2.73000E+01,   1.06599E-02,   9.89397E-01
    2.74000E+01,   1.06929E-02,   9.89364E-01
    2.75000E+01,   1.07270E-02,   9.89330E-01
    2.76000E+01,   1.07597E-02,   9.89298E-01
    2.77000E+01,   1.07953E-02,   9.89263E-01
    2.78000E+01,   1.08368E-02,   9.89222E-01
    2.79000E+01,   1.08806E-02,   9.89178E-01
    2.80000E+01,   1.09167E-02,   9.89143E-01
    2.81000E+01,   1.09586E-02,   9.89101E-01
    2.82000E+01,   1.10037E-02,   9.89057E-01
    2.83000E+01,   1.10507E-02,   9.89010E-01
    2.84000E+01,   1.10997E-02,   9.88962E-01
    2.85000E+01,   1.11509E-02,   9.88911E-01
    2.86000E+01,   1.12047E-02,   9.88858E-01
    2.87000E+01,   1.12625E-02,   9.88801E-01
    2.88000E+01,   1.13299E-02,   9.88734E-01
    2.89000E+01,   1.14422E-02,   9.88623E-01
    2.90000E+01,   1.15297E-02,   9.88536E-01
    2.91000E+01,   1.15072E-02,   9.88559E-01
    2.92000E+01,   1.15510E-02,   9.88515E-01
    2.93000E+01,   1.16067E-02,   9.88460E-01
    2.94000E+01,   1.16673E-02,   9.88400E-01
    2.95000E+01,   1.17316E-02,   9.88337E-01
    2.96000E+01,   1.17996E-02,   9.88270E-01
    2.97000E+01,   1.18723E-02,   9.88198E-01
    2.98000E+01,   1.19541E-02,   9.88117E-01
    2.99000E+01,   1.20595E-02,   9.88013E-01
    3.00000E+01,   1.22764E-02,   9.87799E-01
    3.01000E+01,   1.24056E-02,   9.87671E-01
    3.02000E+01,   1.24791E-02,   9.87598E-01
    3.03000E+01,   1.23538E-02,   9.87722E-01
    3.04000E+01,   1.24016E-02,   9.87675E-01
    3.05000E+01,   1.25413E-02,   9.87537E-01
    3.06000E+01,   1.25476E-02,   9.87531E-01
    3.07000E+01,   1.25933E-02,   9.87486E-01
    3.08000E+01,   1.26615E-02,   9.87418E-01
    3.09000E+01,   1.27368E-02,   9.87344E-01
    3.10000E+01,   1.28139E-02,   9.87268E-01
    3.11000E+01,   1.28937E-02,   9.87189E-01
    3.12000E+01,   1.29756E-02,   9.87108E-01
    3.13000E+01,   1.30591E-02,   9.87026E-01
    3.14000E+01,   1.31439E-02,   9.86942E-01
    3.15000E+01,   1.32303E-02,   9.86857E-01
    3.16000E+01,   1.33179E-02,   9.86770E-01
    3.17000E+01,   1.34069E-02,   9.86683E-01
    3.18000E+01,   1.34972E-02,   9.86593E-01
    3.19000E+01,   1.35890E-02,   9.86503E-01
    3.20000E+01,   1.36823E-02,   9.86411E-01
    3.21000E+01,   1.37825E-02,   9.86312E-01
    3.22000E+01,   1.38722E-02,   9.86224E-01
    3.23000E+01,   1.39687E-02,   9.86128E-01
    3.24000E+01,   1.40665E-02,   9.86032E-01
    3.25000E+01,   1.41660E-02,   9.85934E-01
    3.26000E+01,   1.42669E-02,   9.85834E-01
    3.27000E+01,   1.43698E-02,   9.85733E-01
    3.28000E+01,   1.44733E-02,   9.85631E-01
    3.29000E+01,   1.45776E-02,   9.85528E-01
    3.30000E+01,   1.46837E-02,   9.85424E-01
    3.31000E+01,   1.47913E-02,   9.85318E-01
    3.32000E+01,   1.49008E-02,   9.85210E-01
    3.33000E+01,   1.50109E-02,   9.85101E-01
    3.34000E+01,   1.51227E-02,   9.84991E-01
    3.35000E+01,   1.52370E-02,   9.84878E-01
    3.36000E+01,   1.53528E-02,   9.84764E-01
    3.37000E+01,   1.54683E-02,   9.84651E-01
    3.38000E+01,   1.55863E-02,   9.84535E-01
    3.39000E+01,   1.57055E-02,   9.84417E-01
    3.40000E+01,   1.58268E-02,   9.84298E-01
    3.41000E+01,   1.59494E-02,   9.84177E-01
    3.42000E+01,   1.60739E-02,   9.84055E-01
    3.43000E+01,   1.61995E-02,   9.83931E-01
    3.44000E+01,   1.63273E-02,   9.83805E-01
    3.45000E+01,   1.64564E-02,   9.83678E-01
    3.46000E+01,   1.65882E-02,   9.83549E-01
    3.47000E+01,   1.67209E-02,   9.83418E-01
    3.48000E+01,   1.68558E-02,   9.83285E-01
    3.49000E+01,   1.69973E-02,   9.83146E-01
    3.50000E+01,   1.71307E-02,   9.83015E-01
    3.51000E+01,   1.72704E-02,   9.82878E-01
    3.52000E+01,   1.74123E-02,   9.82738E-01
    3.53000E+01,   1.75572E-02,   9.82596E-01
    3.54000E+01,   1.77030E-02,   9.82453E-01
    3.55000E+01,   1.78512E-02,   9.82307E-01
    3.56000E+01,   1.80040E-02,   9.82157E-01
    3.57000E+01,   1.81615E-02,   9.82002E-01
    3.58000E+01,   1.83256E-02,   9.81841E-01
