# TABLE 1  Fit parameters for photoionization cross sections from Verner+1996, ApJ, 465, 487.
# Energies are in eV, sigma in Mb = 1e-18 cm2
Element Ion      Z  N   Eth      Emax      E0     sigma0    ya        P        yw       y0       y1  Notes
F       7        9  3 1.852e+2 8.905e+2 2.563e+0 6.930e+1 7.547e+1 6.448e+0 0.000e+0 0.000e+0 0.000e+0 B
F       8        9  2 9.539e+2 5.000e+4 1.131e+2 1.039e+2 2.657e+1 2.255e+0 0.000e+0 0.000e+0 0.000e+0 B
F       9        9  1 1.103e+3 5.000e+4 3.485e+1 6.759e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Ne      1       10 10 2.156e+1 8.701e+2 4.870e+0 4.287e+3 5.798e+0 8.355e+0 2.434e-1 4.236e-2 5.873e+0 C
Ne      2       10  9 4.096e+1 8.831e+2 1.247e+1 1.583e+3 3.935e+0 7.810e+0 6.558e-2 1.520e+0 1.084e-1 C
Ne      3       10  8 6.346e+1 9.131e+2 7.753e-1 5.708e+0 6.725e+1 1.005e+1 4.633e-1 7.654e+1 2.023e+0 C
Ne      4       10  7 9.712e+1 9.480e+2 5.566e+0 1.685e+3 6.409e+2 3.056e+0 8.290e-3 5.149e+0 6.687e+0 C
Ne      5       10  6 1.262e+2 9.873e+2 1.248e+0 2.430e+0 1.066e+2 8.999e+0 6.855e-1 9.169e+1 3.702e-1 C
Ne      6       10  5 1.579e+2 1.031e+3 1.499e+0 9.854e-1 1.350e+2 8.836e+0 1.656e+0 1.042e+2 1.435e+0 C
Ne      7       10  4 2.073e+2 1.078e+3 4.888e+0 1.198e+4 1.788e+0 2.550e+1 2.811e+1 2.536e-2 4.417e-2 C
Ne      8       10  3 2.391e+2 1.125e+3 1.003e+1 5.631e+1 3.628e+1 5.585e+0 0.000e+0 0.000e+0 0.000e+0 B
Ne      9       10  2 1.196e+3 5.000e+4 1.586e+2 6.695e+1 3.352e+1 2.002e+0 0.000e+0 0.000e+0 0.000e+0 B
Ne      10      10  1 1.362e+3 5.000e+4 4.304e+1 5.475e+2 3.288e+1 2.963e+0 0.000e+0 0.000e+0 0.000e+0 A
Na      1       11 11 5.139e+0 3.814e+1 6.139e+0 1.601e+0 6.148e+3 3.839e+0 0.000e+0 0.000e+0 0.000e+0 B
Na      2       11 10 4.729e+1 1.074e+3 8.203e+0 1.040e+3 8.259e+0 7.362e+0 2.328e+0 3.375e+0 4.010e+0 C
Na      3       11  9 7.162e+1 1.110e+3 1.069e+1 1.885e+3 3.613e+0 9.803e+0 8.579e-2 3.725e+0 2.279e-1 C
