 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,0.500, 3.000,  0.400,  -4.543, -4.676,  -3.822, -7.977, -8.455,  -7.729, -6.647,-10.839, -2.891, -3.238,  -2.958, -3.456, -3.800,  -8.592, -9.067, -9.210,-12.755,-12.915,  -7.336, -6.866,  -7.576, -7.862, -5.148, -4.692, -3.482
 F,F,ok,0.500, 3.500,  0.400,  -4.588, -4.720,  -3.710, -7.822, -8.393,  -7.257, -6.143, -8.148, -2.663, -2.947,  -3.051, -3.531, -3.867,  -5.087, -5.563, -8.987, -6.595, -6.773,  -5.886, -5.416,  -5.601, -5.765, -5.237, -4.793, -3.254
 F,F,ok,0.500, 4.000,  0.400,  -4.551, -4.630,  -3.745, -7.644, -8.250,  -6.810, -5.813, -5.347, -2.520, -2.774,  -3.221, -3.685, -4.014,  -2.260, -2.735, -4.457, -3.087, -3.262,  -3.925, -3.455,  -3.823, -3.983, -5.420, -4.988, -3.055
 F,F,ok,0.500, 4.500,  0.400,  -2.322, -2.387,  -1.540, -5.802, -6.390,  -6.622, -5.589, -5.021, -2.388, -2.585,  -2.810, -3.374, -3.740,  -1.496, -1.972, -2.735, -0.920, -1.085,  -1.958, -1.486,  -2.059, -2.203, -5.130, -4.605, -2.261
 F,F,ok,0.500, 5.000,  0.400,  -4.298, -4.292,  -3.275, -8.250, -8.824,  -8.989, -7.745, -7.712, -0.663, -0.779,  -3.193, -3.789, -4.182,  -0.828, -1.307, -1.813, -3.413, -3.574,  -4.426, -3.954,  -4.583, -4.712, -5.590, -5.082, -1.333
 F,F,ok,0.750, 1.500,  0.400,  -5.379, -6.339,  -5.031, -8.561, -8.745,  -8.522, -7.644,-10.991, -5.764, -7.190,  -2.674, -3.193, -3.544,  -9.344, -9.819, -9.882,-13.099,-13.250,  -7.187, -6.718,  -8.141, -8.131, -4.897, -4.433, -6.729
 F,F,ok,0.750, 2.000,  0.400,  -4.587, -4.761,  -4.073, -8.183, -8.447,  -8.302, -7.385,-10.770, -3.973, -5.300,  -2.658, -3.176, -3.526,  -9.029, -9.504, -9.573,-12.815,-12.963,  -7.011, -6.541,  -7.428, -7.671, -4.868, -4.405, -4.637
 F,F,ok,0.750, 2.500,  0.400,  -4.397, -4.400,  -3.899, -8.005, -8.446,  -7.929, -6.906,-10.640, -3.096, -3.666,  -2.665, -3.177, -3.524,  -8.606, -9.081, -9.189,-12.612,-12.766,  -6.999, -6.530,  -7.164, -7.477, -4.865, -4.403, -3.649
 F,F,ok,0.750, 3.000,  0.400,  -4.358, -4.387,  -3.661, -7.854, -8.417,  -7.459, -6.382,-10.554, -2.652, -2.984,  -2.707, -3.206, -3.549,  -8.274, -8.749, -8.903,-12.505,-12.662,  -7.085, -6.615,  -7.327, -7.608, -4.898, -4.442, -3.236
 F,F,ok,0.750, 3.500,  0.400,  -4.380, -4.440,  -3.525, -7.734, -8.400,  -6.995, -5.883, -7.886, -2.420, -2.694,  -2.801, -3.281, -3.617,  -4.837, -5.312, -8.686, -6.346, -6.521,  -5.635, -5.165,  -5.350, -5.512, -4.987, -4.543, -3.007
