 f1,f2,f3,lgn,   lgT,    lgZ, F_n2_10,F_n2_21,   F_c2, F_c1_10,F_c1_21, F_o1_10,F_o1_21,F_o1_op,F_o3_10,F_o3_21,   F_ha,   F_hb,   F_hg,  F_o3_32,F_o3_31,F_o3_43,F_o2_10,F_o2_20, F_n2_31,F_n2_32,  F_s2_a, F_s2_b,F_he1_a,F_he1_b,  F_n3
 F,F,ok,5.750, 5.000,  0.100,  -4.239, -3.253,  -3.196, -8.824, -9.785,  -6.659, -5.268, -3.261,  0.723,  1.709,   2.040,  1.437,  1.044,   3.903,  3.424,  3.284, -0.793, -0.346,  -0.484, -0.012,  -2.071, -1.686, -0.332,  0.322,  0.263
 F,F,ok,6.000, 1.500,  0.100,  -6.014, -6.537,  -5.567, -8.426, -9.001,  -5.900, -4.422, -6.729, -6.575, -7.184,   2.409,  1.907,  1.567,  -7.177, -7.651, -6.515,-12.306,-12.158,  -5.113, -4.644,  -7.651, -6.801,  0.145,  0.613, -7.627
 F,F,ok,6.000, 2.000,  0.100,  -5.012, -4.511,  -4.229, -7.545, -8.368,  -5.270, -3.786, -5.998, -4.709, -4.875,   2.554,  2.049,  1.707,  -6.335, -6.810, -5.941,-11.511,-11.184,  -4.527, -4.058,  -6.348, -5.838,  0.270,  0.739, -5.289
 F,F,ok,6.000, 2.500,  0.100,  -4.689, -3.845,  -3.811, -7.668, -8.584,  -4.917, -3.360, -5.720, -2.604, -1.957,   2.569,  2.067,  1.727,  -3.956, -4.431, -3.864,-10.835,-10.444,  -4.064, -3.595,  -5.439, -5.062,  0.317,  0.784, -2.826
 F,F,ok,6.000, 3.000,  0.100,  -4.717, -3.764,  -3.804, -8.064, -9.012,  -4.705, -3.148, -5.666, -1.913, -1.006,   2.531,  2.039,  1.701,  -3.066, -3.541, -3.230,-10.560,-10.148,  -3.998, -3.529,  -5.376, -5.027,  0.298,  0.759, -2.105
 F,F,ok,6.000, 3.500,  0.100,  -4.650, -3.663,  -3.628, -8.182, -9.140,  -4.584, -3.035, -3.015, -1.522, -0.534,   2.442,  1.965,  1.632,  -0.345, -0.820, -2.721, -4.225, -3.807,  -2.330, -1.860,  -3.157, -2.798,  0.205,  0.656, -1.709
 F,F,ok,6.000, 4.000,  0.100,  -4.544, -3.546,  -3.601, -8.212, -9.173,  -4.495, -2.945, -0.380, -1.221, -0.206,   2.274,  1.812,  1.483,   2.570,  2.095,  1.134, -0.540, -0.117,  -0.213,  0.257,  -1.297, -0.936,  0.036,  0.521, -1.397
 F,F,ok,6.000, 4.500,  0.100,  -2.128, -1.129,  -0.972, -5.784, -6.746,  -3.952, -2.433, -0.006, -0.700,  0.314,   2.794,  2.192,  1.819,   3.514,  3.038,  2.843,  1.641,  2.074,   1.897,  2.370,   0.492,  0.866,  0.649,  1.430, -0.222
 F,F,ok,6.000, 5.000,  0.100,  -4.271, -3.289,  -3.220, -8.860, -9.821,  -6.672, -5.297, -3.210,  0.702,  1.683,   2.288,  1.684,  1.293,   4.035,  3.556,  3.565, -0.814, -0.367,  -0.472,  0.000,  -2.094, -1.711, -0.112,  0.537,  0.253
 F,F,ok,0.000, 1.500,  0.000,  -6.721, -7.906,  -6.283,-10.030,-10.182,  -9.775, -8.837,-12.263, -6.826, -8.115,  -3.430, -3.950, -4.300, -10.322,-10.797,-10.862,-14.246,-14.408,  -8.669, -8.199,  -9.352, -9.327, -5.738, -5.275, -8.107
 F,F,ok,0.000, 2.000,  0.000,  -5.912, -6.432,  -5.341, -9.665, -9.864,  -9.558, -8.559,-12.041, -5.018, -6.415,  -3.408, -3.926, -4.276,  -9.996,-10.471,-10.532,-13.966,-14.129,  -8.447, -7.978,  -8.649, -8.886, -5.703, -5.240, -6.062
 F,F,ok,0.000, 2.500,  0.000,  -5.755, -6.068,  -5.183, -9.378, -9.681,  -9.192, -8.111,-11.948, -4.155, -4.772,  -3.415, -3.926, -4.274,  -9.654,-10.129,-10.207,-13.789,-13.953,  -8.397, -7.927,  -8.379, -8.686, -5.699, -5.238, -5.100
 F,F,ok,0.000, 3.000,  0.000,  -5.790, -6.051,  -4.987, -9.074, -9.430,  -8.702, -7.600,-11.863, -3.733, -4.093,  -3.455, -3.954, -4.298,  -9.352, -9.827, -9.950,-13.720,-13.884,  -8.441, -7.972,  -8.567, -8.825, -5.731, -5.275, -4.699
 F,F,ok,0.000, 3.500,  0.000,  -5.882, -6.093,  -4.923, -8.867, -9.272,  -8.208, -7.088, -9.102, -3.517, -3.809,  -3.550, -4.030, -4.366,  -5.949, -6.424, -9.732, -7.611, -7.790,  -7.213, -6.743,  -6.546, -6.712, -5.821, -5.377, -4.479
 F,F,ok,0.000, 4.000,  0.000,  -5.858, -5.983,  -4.988, -8.682, -9.108,  -7.711, -6.714, -6.255, -3.386, -3.647,  -3.720, -4.185, -4.515,  -3.133, -3.608, -5.331, -4.112, -4.287,  -5.261, -4.791,  -4.763, -4.924, -6.006, -5.573, -4.288
 F,F,ok,0.000, 4.500,  0.000,  -3.502, -3.616,  -2.644, -6.119, -6.532,  -7.226, -6.207, -5.646, -3.153, -3.358,  -3.193, -3.781, -4.152,  -2.303, -2.780, -3.546, -1.865, -2.032,  -3.219, -2.746,  -2.866, -3.010, -5.737, -5.212, -3.518
 F,F,ok,0.000, 5.000,  0.000,  -5.280, -5.334,  -4.139, -8.351, -8.754,  -9.392, -8.303, -8.266, -1.499, -1.671,  -3.552, -4.161, -4.560,  -1.743, -2.222, -2.730, -4.168, -4.329,  -5.485, -5.013,  -5.334, -5.463, -6.169, -5.658, -2.556
 F,F,ok,0.250, 1.500,  0.000,  -6.504, -7.632,  -6.075, -9.776, -9.935,  -9.517, -8.581,-12.004, -6.583, -7.869,  -3.179, -3.699, -4.049, -10.073,-10.547,-10.614,-13.996,-14.157,  -8.420, -7.950,  -9.105, -9.073, -5.487, -5.023, -7.864
 F,F,ok,0.250, 2.000,  0.000,  -5.699, -6.132,  -5.132, -9.410, -9.621,  -9.303, -8.309,-11.786, -4.777, -6.160,  -3.158, -3.676, -4.026,  -9.742,-10.217,-10.278,-13.717,-13.877,  -8.206, -7.737,  -8.399, -8.631, -5.453, -4.990, -5.819
 F,F,ok,0.250, 2.500,  0.000,  -5.539, -5.779,  -4.977, -9.156, -9.488,  -8.935, -7.859,-11.685, -3.911, -4.520,  -3.164, -3.676, -4.024,  -9.385, -9.860, -9.940,-13.539,-13.701,  -8.159, -7.690,  -8.129, -8.433, -5.449, -4.988, -4.852
 F,F,ok,0.250, 3.000,  0.000,  -5.564, -5.775,  -4.775, -8.900, -9.307,  -8.447, -7.348,-11.594, -3.486, -3.842,  -3.205, -3.704, -4.048,  -9.078, -9.553, -9.679,-13.470,-13.633,  -8.200, -7.730,  -8.318, -8.574, -5.481, -5.025, -4.450
 F,F,ok,0.250, 3.500,  0.000,  -5.646, -5.828,  -4.699, -8.729, -9.209,  -7.957, -6.839, -8.852, -3.269, -3.558,  -3.300, -3.780, -4.116,  -5.699, -6.174, -9.464, -7.361, -7.540,  -6.963, -6.494,  -6.296, -6.461, -5.571, -5.127, -4.230
 F,F,ok,0.250, 4.000,  0.000,  -5.619, -5.727,  -4.758, -8.555, -9.064,  -7.463, -6.466, -6.008, -3.138, -3.396,  -3.470, -3.935, -4.265,  -2.883, -3.358, -5.081, -3.862, -4.037,  -5.013, -4.543,  -4.514, -4.674, -5.756, -5.323, -4.039
 F,F,ok,0.250, 4.500,  0.000,  -3.297, -3.366,  -2.420, -5.996, -6.489,  -6.977, -5.958, -5.397, -2.908, -3.107,  -2.943, -3.532, -3.903,  -2.053, -2.529, -3.296, -1.616, -1.782,  -2.969, -2.496,  -2.616, -2.760, -5.486, -4.961, -3.268
 F,F,ok,0.250, 5.000,  0.000,  -5.048, -5.085,  -3.914, -8.233, -8.712,  -9.149, -8.061, -8.018, -1.265, -1.422,  -3.305, -3.914, -4.312,  -1.493, -1.971, -2.480, -3.919, -4.079,  -5.235, -4.763,  -5.086, -5.215, -5.918, -5.408, -2.306
 F,F,ok,0.500, 1.500,  0.000,  -6.308, -7.358,  -5.892, -9.526, -9.694,  -9.257, -8.325,-11.741, -6.344, -7.624,  -2.928, -3.447, -3.798,  -9.823,-10.298,-10.365,-13.747,-13.904,  -8.172, -7.703,  -8.861, -8.816, -5.236, -4.772, -7.623
 F,F,ok,0.500, 2.000,  0.000,  -5.510, -5.826,  -4.946, -9.157, -9.388,  -9.036, -8.049,-11.516, -4.540, -5.900,  -2.907, -3.425, -3.775,  -9.485, -9.960,-10.023,-13.467,-13.622,  -7.971, -7.502,  -8.150, -8.373, -5.202, -4.739, -5.578
 F,F,ok,0.500, 2.500,  0.000,  -5.347, -5.485,  -4.798, -8.951, -9.328,  -8.676, -7.607,-11.419, -3.669, -4.264,  -2.914, -3.426, -3.774,  -9.105, -9.580, -9.666,-13.290,-13.449,  -7.930, -7.460,  -7.880, -8.179, -5.199, -4.737, -4.606
 F,F,ok,0.500, 3.000,  0.000,  -5.355, -5.491,  -4.586, -8.753, -9.230,  -8.193, -7.099,-11.327, -3.242, -3.589,  -2.955, -3.454, -3.798,  -8.792, -9.267, -9.397,-13.221,-13.382,  -7.964, -7.495,  -8.068, -8.322, -5.231, -4.775, -4.203
 F,F,ok,0.500, 3.500,  0.000,  -5.422, -5.557,  -4.491, -8.618, -9.187,  -7.710, -6.592, -8.605, -3.023, -3.307,  -3.050, -3.530, -3.866,  -5.448, -5.924, -9.186, -7.112, -7.289,  -6.715, -6.245,  -6.047, -6.211, -5.321, -4.877, -3.981
 F,F,ok,0.500, 4.000,  0.000,  -5.388, -5.469,  -4.541, -8.453, -9.058,  -7.217, -6.220, -5.761, -2.891, -3.145,  -3.220, -3.685, -4.015,  -2.632, -3.108, -4.830, -3.613, -3.787,  -4.764, -4.294,  -4.265, -4.425, -5.506, -5.074, -3.790
 F,F,ok,0.500, 4.500,  0.000,  -3.077, -3.109,  -2.194, -5.893, -6.480,  -6.722, -5.703, -5.149, -2.661, -2.856,  -2.694, -3.283, -3.654,  -1.802, -2.279, -3.045, -1.366, -1.532,  -2.720, -2.247,  -2.366, -2.509, -5.235, -4.707, -3.013
 F,F,ok,0.500, 5.000,  0.000,  -4.820, -4.836,  -3.701, -8.144, -8.716,  -8.910, -7.825, -7.772, -1.030, -1.174,  -3.060, -3.669, -4.067,  -1.242, -1.721, -2.229, -3.669, -3.829,  -4.986, -4.514,  -4.840, -4.969, -5.668, -5.157, -2.058
 F,F,ok,0.750, 1.500,  0.000,  -6.149, -7.104,  -5.751, -9.295, -9.480,  -9.024, -8.096,-11.512, -6.114, -7.382,  -2.682, -3.202, -3.552,  -9.575,-10.050,-10.117,-13.509,-13.659,  -7.928, -7.458,  -8.627, -8.565, -4.990, -4.527, -7.388
 F,F,ok,0.750, 2.000,  0.000,  -5.355, -5.533,  -4.795, -8.915, -9.178,  -8.778, -7.801,-11.256, -4.310, -5.633,  -2.657, -3.175, -3.525,  -9.224, -9.699, -9.765,-13.220,-13.369,  -7.744, -7.274,  -7.904, -8.113, -4.952, -4.489, -5.340
 F,F,ok,0.750, 2.500,  0.000,  -5.188, -5.196,  -4.651, -8.770, -9.211,  -8.415, -7.355,-11.150, -3.434, -4.005,  -2.664, -3.175, -3.523,  -8.811, -9.286, -9.382,-13.042,-13.195,  -7.711, -7.242,  -7.633, -7.923, -4.949, -4.487, -4.362
 F,F,ok,0.750, 3.000,  0.000,  -5.172, -5.204,  -4.426, -8.633, -9.196,  -7.939, -6.849,-11.060, -3.002, -3.335,  -2.705, -3.204, -3.547,  -8.488, -8.963, -9.102,-12.972,-13.130,  -7.738, -7.268,  -7.820, -8.069, -4.981, -4.525, -3.957
 F,F,ok,0.750, 3.500,  0.000,  -5.213, -5.276,  -4.306, -8.529, -9.194,  -7.446, -6.330, -8.342, -2.780, -3.054,  -2.799, -3.280, -3.616,  -5.198, -5.673, -8.896, -6.862, -7.037,  -6.464, -5.994,  -5.796, -5.958, -5.071, -4.627, -3.734
 F,F,ok,0.750, 4.000,  0.000,  -5.168, -5.204,  -4.342, -8.374, -9.074,  -6.955, -5.958, -5.498, -2.646, -2.894,  -2.970, -3.435, -3.764,  -2.382, -2.858, -4.580, -3.363, -3.536,  -4.514, -4.044,  -4.014, -4.172, -5.256, -4.823, -3.542
 F,F,ok,0.750, 4.500,  0.000,  -2.879, -2.870,  -1.998, -5.831, -6.515,  -6.485, -5.465, -4.901, -2.414, -2.605,  -2.446, -3.034, -3.405,  -1.552, -2.028, -2.794, -1.117, -1.282,  -2.472, -1.999,  -2.118, -2.260, -4.982, -4.451, -2.772
 F,F,ok,0.750, 5.000,  0.000,  -4.602, -4.588,  -3.508, -8.086, -8.757,  -8.677, -7.598, -7.528, -0.797, -0.928,  -2.819, -3.427, -3.825,  -0.992, -1.471, -1.978, -3.420, -3.579,  -4.737, -4.264,  -4.596, -4.725, -5.417, -4.904, -1.813
 F,F,ok,1.000, 1.500,  0.000,  -6.016, -6.869,  -5.634, -9.061, -9.272,  -8.760, -7.839,-11.245, -5.892, -7.144,  -2.430, -2.950, -3.301,  -9.327, -9.802, -9.869,-13.267,-13.407,  -7.682, -7.212,  -8.398, -8.302, -4.739, -4.275, -7.159
 F,F,ok,1.000, 2.000,  0.000,  -5.236, -5.268,  -4.675, -8.683, -8.995,  -8.507, -7.541,-10.981, -4.089, -5.354,  -2.406, -2.924, -3.274,  -8.956, -9.431, -9.502,-12.975,-13.112,  -7.521, -7.052,  -7.664, -7.848, -4.701, -4.238, -5.108
 F,F,ok,1.000, 2.500,  0.000,  -5.070, -4.929,  -4.537, -8.616, -9.137,  -8.150, -7.099,-10.876, -3.207, -3.739,  -2.413, -2.925, -3.273,  -8.500, -8.975, -9.085,-12.795,-12.940,  -7.502, -7.033,  -7.389, -7.663, -4.698, -4.237, -4.122
 F,F,ok,1.000, 3.000,  0.000,  -5.025, -4.926,  -4.302, -8.541, -9.196,  -7.685, -6.598,-10.794, -2.769, -3.078,  -2.455, -2.954, -3.297,  -8.163, -8.638, -8.791,-12.725,-12.877,  -7.522, -7.053,  -7.573, -7.814, -4.731, -4.275, -3.714
 F,F,ok,1.000, 3.500,  0.000,  -5.032, -4.996,  -4.154, -8.468, -9.220,  -7.200, -6.085, -8.096, -2.541, -2.800,  -2.549, -3.030, -3.366,  -4.947, -5.423, -8.589, -6.614, -6.786,  -6.216, -5.746,  -5.549, -5.707, -4.821, -4.377, -3.489
 F,F,ok,1.000, 4.000,  0.000,  -4.971, -4.940,  -4.171, -8.322, -9.105,  -6.710, -5.713, -5.253, -2.404, -2.642,  -2.720, -3.185, -3.514,  -2.132, -2.608, -4.330, -3.114, -3.285,  -4.267, -3.798,  -3.766, -3.922, -5.006, -4.573, -3.296
 F,F,ok,1.000, 4.500,  0.000,  -2.661, -2.601,  -1.791, -5.762, -6.535,  -6.218, -5.199, -4.653, -2.168, -2.352,  -2.196, -2.785, -3.156,  -1.301, -1.777, -2.544, -0.868, -1.032,  -2.223, -1.750,  -1.868, -2.009, -4.727, -4.190, -2.510
 F,F,ok,1.000, 5.000,  0.000,  -4.401, -4.343,  -3.342, -8.063, -8.823,  -8.451, -7.380, -7.288, -0.571, -0.684,  -2.581, -3.187, -3.585,  -0.741, -1.220, -1.726, -3.171, -3.329,  -4.488, -4.015,  -4.355, -4.484, -5.166, -4.650, -1.571
 F,F,ok,1.250, 1.500,  0.000,  -5.924, -6.683,  -5.557, -8.857, -9.107,  -8.521, -7.607,-11.007, -5.688, -6.912,  -2.184, -2.704, -3.054,  -9.080, -9.555, -9.623,-13.039,-13.162,  -7.437, -6.968,  -8.187, -8.043, -4.492, -4.029, -6.942
 F,F,ok,1.250, 2.000,  0.000,  -5.164, -5.054,  -4.594, -8.484, -8.864,  -8.275, -7.320,-10.751, -3.886, -5.065,  -2.159, -2.677, -3.027,  -8.681, -9.156, -9.236,-12.742,-12.858,  -7.300, -6.831,  -7.435, -7.581, -4.454, -3.991, -4.886
 F,F,ok,1.250, 2.500,  0.000,  -5.002, -4.704,  -4.460, -8.498, -9.109,  -7.908, -6.864,-10.628, -2.996, -3.467,  -2.164, -2.676, -3.024,  -8.173, -8.648, -8.776,-12.555,-12.686,  -7.299, -6.829,  -7.151, -7.400, -4.449, -3.988, -3.889
 F,F,ok,1.250, 3.000,  0.000,  -4.923, -4.673,  -4.211, -8.473, -9.214,  -7.429, -6.345,-10.528, -2.548, -2.818,  -2.205, -2.704, -3.047,  -7.818, -8.293, -8.463,-12.480,-12.622,  -7.316, -6.846,  -7.330, -7.556, -4.481, -4.025, -3.476
 F,F,ok,1.250, 3.500,  0.000,  -4.884, -4.720,  -4.032, -8.421, -9.243,  -6.918, -5.804, -7.814, -2.310, -2.544,  -2.299, -2.779, -3.116,  -4.697, -5.172, -8.264, -6.365, -6.530,  -5.963, -5.493,  -5.298, -5.449, -4.571, -4.126, -3.248
 F,F,ok,1.250, 4.000,  0.000,  -4.806, -4.679,  -4.035, -8.289, -9.137,  -6.467, -5.469, -5.007, -2.166, -2.388,  -2.470, -2.935, -3.265,  -1.882, -2.358, -4.080, -2.867, -3.034,  -4.021, -3.551,  -3.520, -3.672, -4.756, -4.323, -3.053
 F,F,ok,1.250, 4.500,  0.000,  -2.486, -2.355,  -1.629, -5.728, -6.571,  -5.970, -4.950, -4.405, -1.926, -2.099,  -1.948, -2.536, -2.907,  -1.050, -1.526, -2.292, -0.620, -0.781,  -1.975, -1.503,  -1.620, -1.759, -4.470, -3.922, -2.263
 F,F,ok,1.250, 5.000,  0.000,  -4.226, -4.105,  -3.211, -8.070, -8.902,  -8.233, -7.171, -7.051, -0.353, -0.443,  -2.346, -2.951, -3.348,  -0.491, -0.969, -1.474, -2.923, -3.079,  -4.239, -3.767,  -4.117, -4.244, -4.912, -4.393, -1.334
 F,F,ok,1.500, 1.500,  0.000,  -5.855, -6.537,  -5.495, -8.666, -8.966,  -8.258, -7.352,-10.741, -5.506, -6.691,  -1.933, -2.452, -2.803,  -8.834, -9.308, -9.377,-12.816,-12.913,  -7.188, -6.719,  -7.993, -7.776, -4.241, -3.777, -6.741
 F,F,ok,1.500, 2.000,  0.000,  -5.113, -4.882,  -4.523, -8.296, -8.759,  -7.989, -7.049,-10.459, -3.704, -4.769,  -1.907, -2.424, -2.774,  -8.399, -8.874, -8.967,-12.510,-12.595,  -7.071, -6.602,  -7.213, -7.302, -4.202, -3.738, -4.675
 F,F,ok,1.500, 2.500,  0.000,  -4.970, -4.525,  -4.403, -8.405, -9.101,  -7.644, -6.607,-10.357, -2.808, -3.191,  -1.914, -2.425, -2.773,  -7.832, -8.307, -8.458,-12.320,-12.426,  -7.091, -6.622,  -6.921, -7.129, -4.199, -3.737, -3.666
 F,F,ok,1.500, 3.000,  0.000,  -4.868, -4.461,  -4.148, -8.425, -9.236,  -7.165, -6.082,-10.255, -2.345, -2.554,  -1.954, -2.453, -2.797,  -7.455, -7.930, -8.121,-12.240,-12.364,  -7.112, -6.642,  -7.091, -7.294, -4.231, -3.775, -3.248
 F,F,ok,1.500, 3.500,  0.000,  -4.788, -4.478,  -3.949, -8.395, -9.268,  -6.674, -5.559, -7.569, -2.093, -2.285,  -2.049, -2.529, -2.866,  -4.445, -4.920, -7.921, -6.122, -6.276,  -5.714, -5.244,  -5.055, -5.195, -4.321, -3.877, -3.013
 F,F,ok,1.500, 4.000,  0.000,  -4.680, -4.433,  -3.932, -8.267, -9.160,  -6.215, -5.215, -4.752, -1.938, -2.132,  -2.220, -2.685, -3.014,  -1.632, -2.107, -3.829, -2.621, -2.781,  -3.773, -3.303,  -3.273, -3.419, -4.506, -4.073, -2.814
 F,F,ok,1.500, 4.500,  0.000,  -2.330, -2.106,  -1.483, -5.693, -6.586,  -5.709, -4.688, -4.156, -1.689, -1.843,  -1.700, -2.288, -2.659,  -0.798, -1.274, -2.041, -0.373, -0.530,  -1.727, -1.254,  -1.373, -1.508, -4.207, -3.643, -2.007
 F,F,ok,1.500, 5.000,  0.000,  -4.088, -3.880,  -3.115, -8.097, -8.982,  -8.022, -6.968, -6.816, -0.147, -0.202,  -2.113, -2.715, -3.112,  -0.240, -0.719, -1.222, -2.676, -2.829,  -3.991, -3.519,  -3.881, -4.006, -4.657, -4.131, -1.104
 F,F,ok,1.750, 1.500,  0.000,  -5.809, -6.434,  -5.450, -8.506, -8.866,  -7.996, -7.099,-10.476, -5.355, -6.486,  -1.682, -2.201, -2.552,  -8.588, -9.063, -9.133,-12.610,-12.672,  -6.937, -6.468,  -7.824, -7.514, -3.990, -3.526, -6.565
 F,F,ok,1.750, 2.000,  0.000,  -5.087, -4.762,  -4.473, -8.149, -8.700,  -7.733, -6.804,-10.201, -3.555, -4.482,  -1.657, -2.175, -2.525,  -8.116, -8.591, -8.699,-12.297,-12.336,  -6.835, -6.365,  -7.013, -7.024, -3.952, -3.489, -4.486
 F,F,ok,1.750, 2.500,  0.000,  -4.964, -4.395,  -4.363, -8.336, -9.104,  -7.377, -6.345,-10.083, -2.651, -2.916,  -1.663, -2.174, -2.522,  -7.485, -7.960, -8.136,-12.095,-12.163,  -6.874, -6.404,  -6.703, -6.853, -3.948, -3.486, -3.461
 F,F,ok,1.750, 3.000,  0.000,  -4.860, -4.306,  -4.114, -8.401, -9.263,  -6.942, -5.859,-10.029, -2.170, -2.290,  -1.705, -2.204, -2.548,  -7.082, -7.557, -7.772,-12.010,-12.107,  -6.902, -6.432,  -6.863, -7.030, -3.981, -3.526, -3.033
 F,F,ok,1.750, 3.500,  0.000,  -4.742, -4.278,  -3.894, -8.380, -9.287,  -6.432, -5.316, -7.323, -1.896, -2.025,  -1.799, -2.279, -2.616,  -4.192, -4.668, -7.563, -5.884, -6.020,  -5.463, -4.993,  -4.818, -4.939, -4.071, -3.627, -2.788
 F,F,ok,1.750, 4.000,  0.000,  -4.605, -4.218,  -3.863, -8.256, -9.178,  -5.975, -4.972, -4.505, -1.725, -1.874,  -1.970, -2.435, -2.764,  -1.381, -1.856, -3.579, -2.378, -2.528,  -3.525, -3.055,  -3.032, -3.166, -4.256, -3.822, -2.583
 F,F,ok,1.750, 4.500,  0.000,  -2.248, -1.908,  -1.399, -5.695, -6.620,  -5.479, -4.456, -3.909, -1.463, -1.586,  -1.453, -2.041, -2.411,  -0.545, -1.022, -1.788, -0.130, -0.279,  -1.481, -1.008,  -1.131, -1.259, -3.937, -3.351, -1.778
 F,F,ok,1.750, 5.000,  0.000,  -3.995, -3.677,  -3.050, -8.133, -9.052,  -7.814, -6.766, -6.584,  0.044,  0.038,  -1.879, -2.480, -2.876,   0.011, -0.468, -0.970, -2.432, -2.578,  -3.743, -3.270,  -3.648, -3.769, -4.397, -3.860, -0.882
 F,F,ok,2.000, 1.500,  0.000,  -5.772, -6.360,  -5.409, -8.372, -8.790,  -7.720, -6.830,-10.194, -5.240, -6.305,  -1.428, -1.947, -2.298,  -8.345, -8.819, -8.890,-12.422,-12.440,  -6.684, -6.215,  -7.680, -7.261, -3.735, -3.272, -6.421
 F,F,ok,2.000, 2.000,  0.000,  -5.069, -4.677,  -4.429, -8.030, -8.662,  -7.465, -6.545, -9.929, -3.444, -4.219,  -1.407, -1.924, -2.274,  -7.837, -8.312, -8.436,-12.101,-12.080,  -6.589, -6.119,  -6.832, -6.750, -3.701, -3.238, -4.324
 F,F,ok,2.000, 2.500,  0.000,  -4.975, -4.309,  -4.336, -8.291, -9.113,  -7.130, -6.100, -9.832, -2.533, -2.656,  -1.413, -1.925, -2.273,  -7.141, -7.616, -7.817,-11.887,-11.902,  -6.646, -6.176,  -6.504, -6.576, -3.698, -3.237, -3.280
 F,F,ok,2.000, 3.000,  0.000,  -4.870, -4.192,  -4.088, -8.379, -9.275,  -6.682, -5.598, -9.765, -2.031, -2.034,  -1.455, -1.954, -2.297,  -6.711, -7.186, -7.424,-11.788,-11.843,  -6.680, -6.210,  -6.645, -6.759, -3.731, -3.275, -2.839
 F,F,ok,2.000, 3.500,  0.000,  -4.736, -4.130,  -3.861, -8.372, -9.300,  -6.198, -5.079, -7.083, -1.730, -1.766,  -1.549, -2.029, -2.366,  -3.939, -4.414, -7.201, -5.654, -5.760,  -5.211, -4.741,  -4.590, -4.680, -3.821, -3.377, -2.580
 F,F,ok,2.000, 4.000,  0.000,  -4.575, -4.043,  -3.817, -8.247, -9.187,  -5.724, -4.714, -4.241, -1.535, -1.616,  -1.720, -2.185, -2.514,  -1.130, -1.606, -3.328, -2.139, -2.270,  -3.273, -2.803,  -2.793, -2.908, -4.005, -3.571, -2.366
 F,F,ok,2.000, 4.500,  0.000,  -2.204, -1.733,  -1.336, -5.693, -6.639,  -5.246, -4.218, -3.662, -1.253, -1.327,  -1.206, -1.793, -2.164,  -0.292, -0.768, -1.535,  0.110, -0.027,  -1.232, -0.760,  -0.893, -1.010, -3.657, -3.041, -1.551
 F,F,ok,2.000, 5.000,  0.000,  -3.950, -3.505,  -3.012, -8.169, -9.110,  -7.611, -6.565, -6.352,  0.219,  0.277,  -1.644, -2.243, -2.638,   0.262, -0.217, -0.717, -2.192, -2.327,  -3.494, -3.022,  -3.418, -3.532, -4.130, -3.577, -0.671
 F,F,ok,2.250, 1.500,  0.000,  -5.749, -6.313,  -5.380, -8.277, -8.747,  -7.463, -6.576, -9.934, -5.164, -6.158,  -1.177, -1.697, -2.048,  -8.105, -8.579, -8.650,-12.264,-12.237,  -6.432, -5.963,  -7.562, -7.035, -3.485, -3.021, -6.316
 F,F,ok,2.250, 2.000,  0.000,  -5.057, -4.621,  -4.393, -7.944, -8.641,  -7.218, -6.303, -9.680, -3.374, -3.999,  -1.158, -1.676, -2.025,  -7.569, -8.044, -8.181,-11.929,-11.840,  -6.337, -5.867,  -6.676, -6.494, -3.453, -2.989, -4.200
 F,F,ok,2.250, 2.500,  0.000,  -4.989, -4.255,  -4.317, -8.260, -9.119,  -6.890, -5.860, -9.590, -2.457, -2.426,  -1.164, -1.675, -2.023,  -6.806, -7.281, -7.509,-11.699,-11.646,  -6.408, -5.939,  -6.325, -6.307, -3.449, -2.987, -3.131
 F,F,ok,2.250, 3.000,  0.000,  -4.898, -4.122,  -4.077, -8.373, -9.290,  -6.461, -5.373, -9.542, -1.936, -1.798,  -1.206, -1.705, -2.048,  -6.352, -6.827, -7.089,-11.587,-11.583,  -6.447, -5.978,  -6.446, -6.491, -3.482, -3.026, -2.674
 F,F,ok,2.250, 3.500,  0.000,  -4.755, -4.028,  -3.841, -8.368, -9.308,  -5.963, -4.838, -6.836, -1.602, -1.518,  -1.299, -1.780, -2.116,  -3.684, -4.159, -6.846, -5.435, -5.496,  -4.958, -4.488,  -4.372, -4.417, -3.571, -3.126, -2.395
 F,F,ok,2.250, 4.000,  0.000,  -4.584, -3.919,  -3.793, -8.248, -9.199,  -5.507, -4.487, -4.004, -1.376, -1.361,  -1.470, -1.935, -2.264,  -0.879, -1.354, -3.076, -1.911, -2.011,  -3.023, -2.553,  -2.569, -2.652, -3.754, -3.319, -2.169
 F,F,ok,2.250, 4.500,  0.000,  -2.144, -1.539,  -1.238, -5.639, -6.596,  -4.966, -3.930, -3.412, -1.063, -1.067,  -0.956, -1.545, -1.916,  -0.037, -0.514, -1.280,  0.342,  0.227,  -0.980, -0.507,  -0.661, -0.757, -3.364, -2.711, -1.295
 F,F,ok,2.250, 5.000,  0.000,  -3.946, -3.369,  -2.994, -8.203, -9.157,  -7.416, -6.364, -6.121,  0.374,  0.509,  -1.406, -2.004, -2.399,   0.514,  0.035, -0.465, -1.959, -2.075,  -3.245, -2.773,  -3.195, -3.297, -3.856, -3.282, -0.477
